,matchId,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
59,61f1141ee260b0159d204044,VolitionÄÉÀÌ,202201,½Â,0,0,1,0,0,0,90,3,52,0,4.55556,gamepad,7,6,0,4,4,0,2,1,0,0,5,3,2,1,0,0,142,133,111,109,7,6,0,0,4,4,16,13,2,1,6,0,12,5
60,61efb85afe3c7e0d846e0dcf,VIsualKimOne,202201,ÆÐ,0,0,0,0,0,0,107,2,47,0,4.08333,gamepad,4,4,0,2,2,0,3,2,0,0,4,2,0,0,0,0,142,127,113,108,5,3,0,0,3,2,17,14,1,0,13,1,11,8
61,61efb85afe3c7e0d846e0dcf,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,133,1,53,1,4.17778,gamepad,7,6,0,3,3,0,0,0,0,0,7,3,0,0,0,0,185,174,136,130,4,3,0,0,4,4,39,35,2,2,13,1,18,8
62,61ef9f6a5e71f0bd83d71bb6,Á¶Çö¿ìÁ¦Æ®µð,202201,ÆÐ,0,0,0,0,0,0,82,1,46,0,3.70556,keyboard,3,2,0,1,1,0,0,0,0,0,1,0,1,0,1,1,113,101,92,89,3,0,0,0,1,1,15,10,2,1,9,0,15,4
63,61ef9f6a5e71f0bd83d71bb6,SaddlerJungMin,202201,½Â,0,0,1,0,0,0,90,1,54,2,4.42778,gamepad,8,5,0,3,3,0,1,2,0,0,5,3,2,0,0,0,131,123,87,83,6,4,2,2,6,6,28,26,2,2,4,0,6,4
64,61ef9cbe47c2f42d940ea482,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,91,0,52,1,4.41111,gamepad,4,4,0,4,4,0,0,0,0,0,3,4,0,0,0,0,141,134,106,104,5,5,0,0,2,2,25,22,2,1,3,0,11,3
65,61ef9cbe47c2f42d940ea482,Àü¼öºó,202201,ÆÐ,0,0,0,0,0,0,73,0,48,1,3.67778,gamepad,4,3,0,2,2,0,1,0,0,0,4,2,0,0,0,0,109,97,85,80,2,1,0,0,3,2,16,12,3,2,7,0,10,5
66,61ef9a0cf7866b6310f669d4,SaddlerJungMin,202201,ÆÐ,0,0,2,0,0,1,50,0,34,0,3.63889,gamepad,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,72,63,45,43,5,3,0,0,1,1,18,14,2,2,4,0,15,6
67,61ef9a0cf7866b6310f669d4,¼ö°íÇÏ¼Ì½À´Ï´Ù,202201,½Â,0,1,0,0,0,0,108,1,66,1,4.13889,gamepad,3,3,0,2,2,0,0,0,0,0,2,1,0,0,1,1,138,130,112,109,6,4,0,0,5,3,13,13,2,1,2,0,6,4
68,61ef96962cfe47fdd04780b8,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,141,4,52,1,4.31111,gamepad,6,6,0,2,2,0,1,0,0,0,6,2,0,0,0,0,208,193,154,150,12,8,1,0,7,7,33,27,1,1,9,0,15,7
69,61ef96962cfe47fdd04780b8,INS4NE°æ¼·,202201,ÆÐ,0,0,0,0,0,0,118,2,48,1,4.06667,gamepad,8,7,0,1,1,0,2,0,0,0,4,1,4,0,0,0,165,151,141,134,8,7,0,0,8,8,8,2,0,0,6,1,11,7
70,61ef8b322fd0c53b62d0592e,SaddlerJungMin,202201,ÆÐ,0,1,0,1,0,0,95,1,48,0,3.82222,gamepad,11,8,0,3,3,0,1,0,0,0,8,3,3,0,0,0,139,126,101,96,3,2,1,0,3,1,27,26,2,1,6,0,20,8
71,61ef8b322fd0c53b62d0592e,ÀåÇ®¶¼±â,202201,½Â,0,0,0,0,0,0,105,0,52,1,4.42778,keyboard,4,4,0,4,4,0,0,0,0,0,2,3,2,1,0,0,145,139,117,115,4,4,0,0,2,2,20,18,0,0,15,1,6,3
72,61eeaf6c48e952c705f3b605,ÇìÀÌ´õ,202201,ÆÐ,0,0,1,0,0,0,100,7,47,0,4.25556,gamepad,15,10,1,3,3,0,2,0,0,0,10,1,5,2,0,0,147,129,110,103,6,5,0,0,0,0,27,20,2,1,17,3,35,11
73,61eeaf6c48e952c705f3b605,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,0,0,0,0,0.0,gamepad,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,61eead1a886971705e831094,EBS³ë»ç¿¬,202201,ÆÐ,0,0,0,1,0,0,78,0,55,0,3.82778,gamepad,4,3,0,1,1,0,0,0,0,0,2,0,2,1,0,0,109,100,72,69,11,11,0,0,4,4,21,16,1,0,5,0,15,6
75,61eead1a886971705e831094,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,67,1,45,0,4.16667,gamepad,6,4,0,2,2,0,0,0,0,0,5,2,1,0,0,0,106,95,73,68,6,6,0,0,5,4,18,14,3,3,2,0,16,5
76,61eeaaa97f3ef39297e6d112,SaddlerJungMin,202201,½Â,0,0,1,0,0,0,80,4,46,1,4.23889,gamepad,9,7,0,2,2,0,0,0,0,0,8,2,1,0,0,0,107,98,73,70,5,3,0,0,4,4,25,21,0,0,4,1,13,7
77,61eeaaa97f3ef39297e6d112,UnLMTD¼­¹Î¼ö,202201,ÆÐ,0,0,0,0,0,0,86,2,54,1,3.90556,gamepad,5,3,0,1,1,0,0,0,1,0,3,1,2,0,0,0,131,117,112,106,2,1,0,0,4,4,10,6,0,0,6,1,5,3
78,61eea7fff7866b4726f00926,RIQUELME,202201,ÆÐ,0,1,1,0,0,0,92,3,56,0,5.16111,gamepad,8,5,0,1,1,0,4,1,0,0,4,1,4,0,0,0,122,112,100,96,8,6,0,0,3,2,10,8,0,0,3,0,11,8
79,61eea7fff7866b4726f00926,SaddlerJungMin,202201,½Â,0,1,0,0,0,0,74,0,44,0,4.1,gamepad,3,2,0,2,2,0,0,0,0,0,2,2,1,0,0,0,98,92,70,67,1,1,0,0,4,3,22,21,0,0,8,1,14,4
80,61eea57280576de50d1d17c3,ElinorÃµÀç,202201,ÆÐ,0,1,0,0,0,0,83,0,44,0,3.56667,keyboard,2,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,120,113,92,91,4,4,0,0,1,1,22,17,0,0,18,0,1,1
81,61eea57280576de50d1d17c3,SaddlerJungMin,202201,½Â,0,0,1,0,0,0,107,0,56,0,4.40556,gamepad,8,4,0,3,3,0,3,1,0,0,6,1,2,2,0,0,145,138,106,103,6,5,0,0,6,6,24,22,2,2,5,1,11,6
82,61eea30de260b0f0ae0d6d8e,SaddlerJungMin,202201,ÆÐ,0,0,1,0,0,0,90,1,54,1,3.82222,gamepad,4,3,0,1,1,0,0,0,0,0,3,1,1,0,0,0,135,126,98,95,4,4,0,0,6,6,23,20,3,1,5,0,11,4
83,61eea30de260b0f0ae0d6d8e,Cozy»ç³ª,202201,½Â,0,0,0,0,0,0,71,1,46,0,4.36111,gamepad,4,4,0,2,2,0,0,0,1,0,3,2,1,0,0,0,122,109,85,80,2,1,0,0,1,1,30,24,3,3,3,0,16,12
84,61ee9f4c2cfe477b1740c9d8,Eunice°­¹Î¼ö,202201,½Â,0,1,0,0,0,0,116,0,49,1,4.23333,gamepad,6,5,0,4,5,0,0,0,0,0,6,4,0,0,0,0,164,147,116,109,6,3,0,0,11,10,31,25,0,0,11,1,21,9
85,61ee9f4c2cfe477b1740c9d8,SaddlerJungMin,202201,ÆÐ,0,0,0,0,0,0,120,2,51,1,4.03889,gamepad,8,7,0,4,4,1,0,0,0,0,7,4,1,0,0,0,172,159,120,116,3,3,0,0,8,7,38,33,2,0,9,2,13,8
86,61ee9cc0ab6642627ac28a8f,SaddlerJungMin,202201,ÆÐ,0,1,1,0,0,0,79,1,50,2,3.83333,gamepad,7,3,0,1,1,0,1,0,0,0,6,1,1,0,0,0,118,109,84,81,5,4,0,0,1,1,27,23,1,0,8,0,15,8
87,61ee9cc0ab6642627ac28a8f,¿ìÀÎv,202201,½Â,0,0,1,0,0,0,72,0,50,0,4.20556,gamepad,3,3,0,2,2,0,1,0,0,0,2,2,0,0,0,0,126,113,96,89,10,9,0,0,2,2,15,12,1,1,9,0,10,5
88,61ee99ebc426dd4107d0fd24,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,72,1,41,1,4.16111,gamepad,4,4,0,2,2,0,0,0,0,0,4,2,0,0,0,0,101,95,75,73,5,4,0,0,2,2,17,16,0,0,7,0,14,9
89,61ee99ebc426dd4107d0fd24,½ÅÃà,202201,ÆÐ,0,0,1,0,0,0,101,1,59,1,3.92222,gamepad,3,3,0,1,1,0,0,0,0,0,3,1,0,0,0,0,126,115,89,83,1,1,0,0,7,7,28,24,0,0,6,0,13,10
90,61ee978a6940b76d0cce9668,»ç°ú¸À´ß,202201,ÆÐ,0,0,0,0,0,0,0,0,0,0,0.0,gamepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,61ee978a6940b76d0cce9668,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,85,0,50,2,4.71667,gamepad,6,5,0,4,4,0,0,0,0,0,3,4,1,0,0,0,125,118,93,89,4,4,0,0,2,2,25,23,0,0,6,1,15,11
92,61ee6dbbab66420b68bfd217,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,92,1,50,0,4.48333,gamepad,7,7,0,3,3,0,1,0,0,0,5,2,2,1,0,0,132,122,87,81,6,6,1,0,5,5,32,30,0,0,3,0,15,10
93,61ee6dbbab66420b68bfd217,KFCx¾ËÆÄ°í,202201,ÆÐ,0,0,1,0,0,0,88,0,50,0,3.62778,gamepad,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,106,96,86,81,2,2,0,0,5,4,12,9,0,0,8,1,7,1
94,61ee6b06f7866bd4b8ec21dc,¼¼¸£ºñ¾ÆÃà±¸ÇùÈ¸,202201,ÆÐ,0,0,1,0,0,0,96,1,52,2,3.81667,keyboard,3,3,0,2,2,0,0,0,0,0,2,2,1,0,0,0,113,102,89,83,3,2,0,0,3,2,15,15,0,0,9,0,7,5
95,61ee6b06f7866bd4b8ec21dc,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,87,2,48,0,4.26111,gamepad,6,5,0,3,3,0,2,2,0,0,5,2,0,0,1,1,127,114,81,74,6,4,0,0,3,3,35,31,2,2,6,0,11,7
96,61ee6843c3867462b698e200,ÂÌ±êÈæÃÊÄÚÄÚº¼,202201,½Â,0,3,1,0,0,0,95,1,57,0,4.65556,gamepad,5,5,0,3,3,0,0,0,0,0,2,2,3,1,0,0,129,122,116,112,6,5,0,0,3,3,3,2,1,0,11,0,11,5
97,61ee6843c3867462b698e200,SaddlerJungMin,202201,ÆÐ,0,0,0,0,0,0,74,0,43,1,3.46667,gamepad,4,3,0,1,1,0,0,0,0,0,4,1,0,0,0,0,135,126,101,98,4,2,0,0,3,3,26,23,0,0,8,0,7,3
98,61ee66b92f8303332addae0e,SaddlerJungMin,202201,ÆÐ,2,1,0,0,0,0,40,0,39,0,2.72778,gamepad,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,54,52,33,33,2,2,0,0,1,1,18,16,0,0,4,0,2,0
99,61ee66b92f8303332addae0e,SimBaÈ­³­Ã¢°æÀÌv,202201,½Â,1,0,0,0,0,0,52,0,61,0,4.55,gamepad,4,4,0,4,3,0,0,0,0,0,4,4,0,0,0,0,62,58,39,38,5,4,0,0,1,1,16,14,1,1,3,1,7,4
100,61ed849fab66421693ba6d9a,SimBaÈ­³­±è¸»Èñ,202201,ÆÐ,2,1,0,0,0,0,38,5,46,0,3.11667,gamepad,4,3,0,0,0,0,1,0,0,0,2,0,2,0,0,0,59,52,46,42,5,4,1,1,1,0,4,4,1,1,4,1,1,0
101,61ed849fab66421693ba6d9a,SaddlerJungMin,202201,½Â,1,1,0,0,0,0,49,0,54,0,4.52222,gamepad,4,3,0,3,3,0,0,0,0,0,4,3,0,0,0,0,74,70,49,48,2,2,0,0,4,4,18,16,1,0,6,1,6,2
102,61ed81a1a6b5cc6297f7982f,SaddlerJungMin,202201,ÆÐ,0,0,1,0,0,0,86,0,49,0,3.87778,gamepad,3,2,0,1,1,0,1,0,0,0,3,1,0,0,0,0,130,120,82,79,7,6,0,0,5,3,35,32,0,0,8,0,11,5
103,61ed81a1a6b5cc6297f7982f,MU¼º´ó,202201,½Â,0,0,0,0,0,0,71,2,51,0,4.24444,keyboard,9,7,0,2,2,0,4,1,0,0,6,2,3,0,0,0,110,101,80,75,7,5,0,0,4,4,15,14,4,3,7,1,20,6
104,61ed7f017f3ef34240dd6882,SaddlerJungMin,202201,ÆÐ,0,0,0,1,0,0,96,1,49,0,3.95,gamepad,6,3,0,2,2,0,1,0,0,0,5,2,1,0,0,0,135,126,93,88,4,4,0,0,4,4,32,28,2,2,1,0,12,4
105,61ed7f017f3ef34240dd6882,PaNenKa³ë·ÂÆÄ,202201,½Â,0,0,0,0,0,0,84,1,51,0,4.24444,gamepad,5,5,0,3,3,0,0,0,0,0,2,2,3,1,0,0,131,124,111,108,3,3,0,0,5,3,12,10,0,0,4,1,12,6
106,61ed788648e9523321e9d2f3,SaddlerJungMin,202201,ÆÐ,0,1,1,0,0,0,92,2,48,1,3.63333,gamepad,5,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,133,118,87,81,7,4,0,0,5,5,33,28,0,0,8,0,16,5
107,61ed788648e9523321e9d2f3,ICONSamuelEtoo,202201,½Â,0,0,0,0,0,0,88,2,52,0,4.45556,gamepad,5,5,0,2,2,0,0,0,0,0,3,2,2,0,0,0,113,102,89,85,8,6,0,0,4,4,10,5,2,2,5,0,8,3
108,61ed5acfd6ad226acc616583,SaddlerJungMin,202201,ÆÐ,0,0,2,0,0,0,99,1,55,1,3.78333,gamepad,5,4,0,0,0,0,2,0,0,0,3,0,2,0,0,0,165,148,118,110,9,7,1,0,5,5,31,26,0,0,5,0,12,5
109,61ed5acfd6ad226acc616583,WhizFox¼ºÁ¦°æ,202201,½Â,0,0,0,0,0,0,69,0,45,0,4.46111,gamepad,4,3,0,2,2,0,0,0,0,0,2,2,2,0,0,0,105,94,77,74,4,2,0,0,1,1,21,16,1,1,9,0,5,2
110,61ed586d18b9292cdfc5acb2,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,83,2,47,1,4.25556,gamepad,6,5,0,3,3,0,0,0,0,0,3,2,3,1,0,0,117,105,75,72,5,3,1,0,2,2,32,27,1,1,5,1,14,12
111,61ed586d18b9292cdfc5acb2,EntryXÆÄÀÌ,202201,ÆÐ,0,0,0,0,0,0,82,0,53,0,3.90556,gamepad,3,2,0,2,2,0,0,0,0,0,1,2,1,0,0,0,116,103,100,93,1,1,0,0,0,0,11,8,1,1,8,0,7,6
112,61ed4fad302b21da702a9848,È­·Â,202201,ÆÐ,0,0,2,0,0,0,121,1,45,0,3.85,keyboard,8,4,0,1,1,1,0,0,0,0,8,1,0,0,0,0,141,123,118,105,2,2,0,0,0,0,18,14,3,2,13,1,19,6
113,61ed4fad302b21da702a9848,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,146,1,55,0,4.31111,gamepad,11,4,0,2,3,0,0,0,0,0,8,2,3,0,0,0,213,195,156,143,3,3,0,0,6,5,46,43,1,1,7,0,13,8
114,61ed4c966940b7643fc39f70,SaddlerJungMin,202201,½Â,0,0,0,0,0,0,102,3,59,0,4.81667,gamepad,9,6,0,3,3,0,1,0,0,0,6,3,3,0,0,0,169,157,115,109,12,10,0,0,1,1,39,36,1,1,9,1,10,7
